# Time	Cd	Cl	Cm
2711	0.0121401	0.974356	0.157567
2712	0.0121339	0.974362	0.157559
2713	0.0121256	0.974368	0.157549
2714	0.0121161	0.974374	0.157537
2715	0.0121092	0.974378	0.157528
2716	0.0121017	0.974383	0.157519
2717	0.0120938	0.974388	0.157509
2718	0.0120875	0.974393	0.157501
2719	0.0120801	0.974399	0.157492
2720	0.0120722	0.974406	0.157483
2721	0.0120662	0.974411	0.157476
2722	0.0120598	0.974417	0.157468
2723	0.0120517	0.974424	0.157459
2724	0.0120434	0.974432	0.157449
2725	0.0120368	0.974437	0.157442
2726	0.0120304	0.974443	0.157434
2727	0.0120227	0.974451	0.157426
2728	0.0120152	0.974457	0.157417
2729	0.0120089	0.974463	0.15741
2730	0.0120025	0.974469	0.157403
2731	0.0119946	0.974477	0.157394
2732	0.0119869	0.974486	0.157386
2733	0.0119807	0.974492	0.157379
2734	0.0119743	0.974499	0.157372
2735	0.0119665	0.974507	0.157363
2736	0.011959	0.974516	0.157356
2737	0.0119528	0.974522	0.157349
2738	0.0119465	0.974529	0.157342
2739	0.0119397	0.974537	0.157335
2740	0.0119316	0.974547	0.157327
2741	0.0119241	0.974555	0.157319
2742	0.0119183	0.974561	0.157313
2743	0.0119125	0.974569	0.157307
2744	0.0119061	0.974577	0.157301
2745	0.0118993	0.974586	0.157294
2746	0.0118922	0.974595	0.157287
2747	0.0118851	0.974603	0.15728
2748	0.0118783	0.974611	0.157273
2749	0.0118718	0.97462	0.157266
2750	0.0118657	0.974628	0.15726
2751	0.0118599	0.974636	0.157254
2752	0.0118539	0.974644	0.157248
2753	0.0118477	0.974653	0.157242
2754	0.0118415	0.974661	0.157236
2755	0.0118352	0.97467	0.15723
2756	0.0118291	0.974679	0.157224
2757	0.0118233	0.974687	0.157218
2758	0.0118175	0.974696	0.157213
2759	0.0118119	0.974704	0.157207
2760	0.0118062	0.974713	0.157202
2761	0.0118005	0.974722	0.157197
2762	0.0117947	0.97473	0.157191
2763	0.011789	0.974739	0.157186
2764	0.0117834	0.974747	0.157181
2765	0.0117778	0.974756	0.157175
2766	0.0117721	0.974765	0.15717
2767	0.0117666	0.974773	0.157165
2768	0.0117609	0.974782	0.15716
2769	0.0117553	0.974792	0.157155
2770	0.0117497	0.974801	0.15715
2771	0.011744	0.97481	0.157145
2772	0.0117382	0.97482	0.15714
2773	0.0117318	0.974831	0.157134
2774	0.0117257	0.97484	0.157128
2775	0.0117206	0.974849	0.157124
2776	0.0117155	0.974857	0.15712
2777	0.0117101	0.974867	0.157115
2778	0.0117044	0.974877	0.157111
2779	0.0116984	0.974887	0.157106
2780	0.0116913	0.974899	0.157099
2781	0.0116844	0.97491	0.157093
2782	0.0116791	0.974919	0.157089
2783	0.0116741	0.974928	0.157085
2784	0.0116688	0.974939	0.157081
2785	0.0116633	0.97495	0.157076
2786	0.0116574	0.97496	0.157072
2787	0.0116514	0.974971	0.157067
2788	0.0116455	0.974982	0.157062
2789	0.0116398	0.974993	0.157058
2790	0.0116343	0.975003	0.157053
2791	0.0116289	0.975014	0.157049
2792	0.0116233	0.975025	0.157045
2793	0.0116178	0.975036	0.157041
2794	0.0116123	0.975048	0.157036
2795	0.011607	0.975059	0.157032
2796	0.0116018	0.97507	0.157029
2797	0.0115967	0.975081	0.157025
2798	0.0115915	0.975092	0.157021
2799	0.0115864	0.975104	0.157017
2800	0.0115816	0.975114	0.157014
2801	0.011577	0.975124	0.157011
2802	0.011572	0.975135	0.157007
2803	0.0115663	0.975148	0.157003
2804	0.0115607	0.97516	0.156998
2805	0.0115561	0.97517	0.156995
2806	0.0115517	0.975181	0.156992
2807	0.0115476	0.975191	0.156989
2808	0.0115434	0.975201	0.156987
2809	0.0115387	0.975212	0.156984
2810	0.0115328	0.975226	0.156979
2811	0.0115272	0.97524	0.156975
2812	0.0115232	0.975249	0.156972
2813	0.0115193	0.975259	0.15697
2814	0.011515	0.97527	0.156967
2815	0.0115094	0.975283	0.156963
2816	0.0115042	0.975296	0.156959
2817	0.0115	0.975306	0.156956
2818	0.0114959	0.975316	0.156954
2819	0.0114914	0.975327	0.156951
2820	0.0114866	0.975339	0.156947
2821	0.0114809	0.975353	0.156943
2822	0.0114761	0.975366	0.15694
2823	0.0114722	0.975376	0.156937
2824	0.0114683	0.975386	0.156935
2825	0.0114639	0.975397	0.156932
2826	0.0114591	0.975408	0.156928
2827	0.0114541	0.97542	0.156925
2828	0.0114492	0.975432	0.156921
2829	0.0114445	0.975443	0.156918
2830	0.0114401	0.975455	0.156914
2831	0.0114358	0.975466	0.156911
2832	0.0114316	0.975477	0.156908
2833	0.0114273	0.975489	0.156905
2834	0.011423	0.9755	0.156902
2835	0.0114185	0.975511	0.156899
2836	0.011414	0.975522	0.156896
2837	0.0114096	0.975534	0.156892
2838	0.0114052	0.975545	0.156889
2839	0.0114009	0.975556	0.156886
2840	0.0113967	0.975567	0.156883
2841	0.0113925	0.975578	0.156879
2842	0.0113882	0.975589	0.156876
2843	0.011384	0.9756	0.156873
2844	0.0113798	0.975611	0.15687
2845	0.0113755	0.975622	0.156866
2846	0.0113713	0.975633	0.156863
2847	0.011367	0.975644	0.15686
2848	0.0113628	0.975655	0.156856
2849	0.0113586	0.975666	0.156853
2850	0.0113545	0.975677	0.15685
2851	0.0113503	0.975687	0.156846
2852	0.0113461	0.975698	0.156843
2853	0.011342	0.975709	0.15684
2854	0.0113378	0.97572	0.156836
2855	0.0113337	0.975731	0.156833
2856	0.0113295	0.975741	0.15683
2857	0.0113246	0.975754	0.156826
2858	0.0113206	0.975765	0.156822
2859	0.0113173	0.975774	0.15682
2860	0.0113137	0.975783	0.156817
2861	0.0113089	0.975794	0.156813
2862	0.0113045	0.975805	0.156809
2863	0.0113008	0.975814	0.156806
2864	0.0112969	0.975823	0.156802
2865	0.0112918	0.975835	0.156798
2866	0.0112873	0.975846	0.156794
2867	0.0112838	0.975855	0.156791
2868	0.0112793	0.975867	0.156787
2869	0.0112752	0.975877	0.156784
2870	0.0112714	0.975887	0.156781
2871	0.0112664	0.975898	0.156776
2872	0.0112621	0.975909	0.156773
2873	0.0112583	0.975918	0.156769
2874	0.0112535	0.97593	0.156765
2875	0.0112494	0.97594	0.156762
2876	0.0112447	0.975951	0.156758
2877	0.0112409	0.975961	0.156754
2878	0.0112366	0.975972	0.156751
2879	0.0112328	0.975981	0.156747
2880	0.0112282	0.975992	0.156743
2881	0.0112242	0.976002	0.15674
2882	0.0112196	0.976014	0.156736
2883	0.0112155	0.976023	0.156732
2884	0.0112106	0.976036	0.156728
2885	0.0112076	0.976044	0.156726
2886	0.011203	0.976055	0.156722
2887	0.0111984	0.976065	0.156717
2888	0.0111939	0.976076	0.156714
2889	0.0111897	0.976087	0.15671
2890	0.0111864	0.976095	0.156707
2891	0.0111817	0.976106	0.156703
2892	0.0111768	0.976116	0.156698
2893	0.0111724	0.976127	0.156694
2894	0.0111684	0.976137	0.15669
2895	0.0111649	0.976145	0.156687
2896	0.0111604	0.976155	0.156683
2897	0.0111554	0.976168	0.156678
2898	0.0111523	0.976175	0.156675
2899	0.0111489	0.976182	0.156671
2900	0.0111438	0.976192	0.156666
2901	0.0111388	0.976201	0.15666
2902	0.0111346	0.976208	0.156656
2903	0.0111304	0.976217	0.156651
2904	0.0111264	0.976225	0.156646
2905	0.011122	0.976235	0.156641
2906	0.0111177	0.976245	0.156637
2907	0.0111141	0.976252	0.156633
2908	0.0111105	0.976259	0.156628
2909	0.0111058	0.976266	0.156623
2910	0.0111016	0.976274	0.156618
2911	0.0110969	0.976282	0.156612
2912	0.011093	0.97629	0.156608
2913	0.0110892	0.976297	0.156603
2914	0.0110847	0.976307	0.156599
2915	0.0110812	0.976315	0.156595
2916	0.011077	0.976325	0.15659
2917	0.0110729	0.976334	0.156586
2918	0.0110695	0.976341	0.156582
2919	0.0110655	0.976348	0.156578
2920	0.0110612	0.976356	0.156573
2921	0.0110569	0.976364	0.156569
2922	0.011053	0.976371	0.156565
2923	0.0110496	0.976378	0.156561
2924	0.0110452	0.976387	0.156556
2925	0.0110406	0.976397	0.156552
2926	0.0110369	0.976406	0.156548
2927	0.011033	0.976415	0.156544
2928	0.0110293	0.976423	0.156541
2929	0.0110252	0.97643	0.156536
2930	0.0110212	0.976438	0.156532
2931	0.011017	0.976446	0.156528
2932	0.011013	0.976454	0.156524
2933	0.0110097	0.976461	0.15652
2934	0.0110056	0.976469	0.156516
2935	0.0110012	0.976478	0.156512
2936	0.0109981	0.976485	0.156509
2937	0.0109946	0.976492	0.156505
2938	0.0109905	0.976499	0.1565
2939	0.0109854	0.976508	0.156495
2940	0.0109818	0.976515	0.156491
2941	0.0109785	0.976522	0.156488
2942	0.0109743	0.976531	0.156484
2943	0.0109707	0.976538	0.15648
2944	0.0109665	0.976546	0.156476
2945	0.0109627	0.976553	0.156472
2946	0.0109588	0.97656	0.156468
2947	0.0109552	0.976567	0.156464
2948	0.010951	0.976574	0.156459
2949	0.0109475	0.976581	0.156456
2950	0.0109435	0.976587	0.156451
2951	0.0109388	0.976596	0.156446
2952	0.0109358	0.976601	0.156443
2953	0.0109322	0.976608	0.156439
2954	0.0109273	0.976616	0.156434
2955	0.0109245	0.976622	0.156431
2956	0.010921	0.976628	0.156427
2957	0.0109157	0.976637	0.156422
2958	0.0109125	0.976642	0.156418
2959	0.0109099	0.976647	0.156415
2960	0.0109062	0.976653	0.156411
2961	0.0109012	0.976661	0.156406
2962	0.0108965	0.976669	0.156401
2963	0.0108939	0.976674	0.156398
2964	0.0108907	0.976679	0.156395
2965	0.010887	0.976686	0.156391
2966	0.0108831	0.976692	0.156387
2967	0.0108794	0.976699	0.156383
2968	0.0108756	0.976705	0.156379
2969	0.010872	0.976711	0.156375
2970	0.0108683	0.976718	0.156371
2971	0.0108647	0.976724	0.156367
2972	0.010861	0.97673	0.156364
2973	0.0108574	0.976736	0.15636
2974	0.0108538	0.976742	0.156356
2975	0.0108501	0.976748	0.156352
2976	0.0108464	0.976754	0.156349
2977	0.0108428	0.976761	0.156345
2978	0.0108391	0.976767	0.156341
2979	0.0108355	0.976773	0.156338
2980	0.010832	0.976779	0.156334
2981	0.0108284	0.976785	0.15633
2982	0.0108248	0.976791	0.156327
2983	0.0108212	0.976797	0.156323
2984	0.0108175	0.976803	0.15632
2985	0.0108139	0.976809	0.156316
2986	0.0108103	0.976815	0.156312
2987	0.0108067	0.976821	0.156309
2988	0.0108032	0.976827	0.156306
2989	0.0107996	0.976833	0.156302
2990	0.010796	0.976839	0.156298
2991	0.0107924	0.976845	0.156295
2992	0.0107887	0.976851	0.156292
2993	0.0107851	0.976857	0.156288
2994	0.0107815	0.976862	0.156285
2995	0.0107779	0.976868	0.156281
2996	0.010774	0.976875	0.156277
2997	0.0107706	0.97688	0.156274
2998	0.0107672	0.976886	0.156271
2999	0.0107636	0.976891	0.156268
3000	0.0107599	0.976897	0.156264
3001	0.0107562	0.976903	0.156261
3002	0.0107525	0.976909	0.156257
3003	0.0107489	0.976915	0.156254
3004	0.0107453	0.97692	0.15625
3005	0.0107417	0.976926	0.156247
3006	0.0107381	0.976931	0.156244
3007	0.0107345	0.976937	0.15624
3008	0.0107308	0.976942	0.156237
3009	0.0107272	0.976948	0.156234
3010	0.0107236	0.976954	0.15623
3011	0.0107199	0.976959	0.156227
3012	0.0107162	0.976965	0.156224
3013	0.0107125	0.97697	0.156221
3014	0.0107089	0.976976	0.156217
3015	0.0107053	0.976981	0.156214
3016	0.0107017	0.976987	0.156211
3017	0.0106981	0.976992	0.156208
3018	0.0106945	0.976998	0.156204
3019	0.0106909	0.977003	0.156201
3020	0.0106873	0.977008	0.156198
3021	0.0106837	0.977013	0.156195
3022	0.0106801	0.977018	0.156191
3023	0.0106765	0.977024	0.156188
3024	0.0106729	0.977029	0.156185
3025	0.0106694	0.977034	0.156182
3026	0.0106658	0.97704	0.156179
3027	0.0106622	0.977045	0.156176
3028	0.0106586	0.977049	0.156173
3029	0.010655	0.977054	0.156169
3030	0.0106514	0.977059	0.156166
3031	0.0106478	0.977064	0.156163
3032	0.0106443	0.977069	0.15616
3033	0.0106408	0.977074	0.156157
3034	0.0106372	0.977079	0.156154
3035	0.0106337	0.977084	0.15615
3036	0.0106303	0.977088	0.156147
3037	0.0106266	0.977093	0.156144
3038	0.0106229	0.977098	0.156141
3039	0.0106197	0.977102	0.156138
3040	0.0106162	0.977107	0.156134
3041	0.0106127	0.977111	0.156131
3042	0.0106093	0.977116	0.156128
3043	0.0106057	0.97712	0.156125
3044	0.0106025	0.977124	0.156122
3045	0.0105988	0.977128	0.156118
3046	0.0105954	0.977132	0.156115
3047	0.0105919	0.977136	0.156111
3048	0.0105888	0.97714	0.156108
3049	0.0105851	0.977145	0.156105
3050	0.0105818	0.97715	0.156102
3051	0.0105783	0.977154	0.156098
3052	0.010575	0.977158	0.156095
3053	0.0105716	0.977162	0.156092
3054	0.0105682	0.977166	0.156089
3055	0.0105648	0.97717	0.156085
3056	0.0105614	0.977174	0.156082
3057	0.010558	0.977178	0.156079
